,Wfgm,Wfga,WfgRatio,Wfgm3,Wfga3,Wfg3Ratio,Wftm,Wfta,WftRatio,Wor,Wdr,Wast,Wto,Wstl,Wblk
1148,34,71,48,5,19,26,3,7,43,14,31,13,12,6,7
1148,29,68,43,4,12,33,21,27,78,18,19,16,10,13,1
1148,25,58,43,3,13,23,25,37,68,13,29,12,10,10,5
1148,21,50,42,9,23,39,14,20,70,13,32,11,18,3,4
1148,22,48,46,2,8,25,30,34,88,9,30,6,14,4,6
1149,37,60,62,14,26,54,13,24,54,11,25,21,8,7,4
1149,25,53,47,9,21,43,13,18,72,12,30,13,17,8,4
1149,27,61,44,14,26,54,13,16,81,11,30,18,17,8,4
1149,25,54,46,10,30,33,15,19,79,7,27,18,4,2,3
1149,25,65,38,6,25,24,19,26,73,18,26,14,15,10,4
1149,27,65,42,5,20,25,15,23,65,13,32,12,14,10,4
1149,28,51,55,13,25,52,14,17,82,12,21,17,19,9,3
1149,26,60,43,15,30,50,12,17,71,11,29,9,10,5,2
1149,30,68,44,10,25,40,9,16,56,15,27,6,10,5,6
1149,34,67,51,11,25,44,7,9,78,16,24,13,10,8,2
1149,29,62,47,10,26,38,5,10,50,13,31,17,12,5,0
1149,27,60,45,7,21,33,11,14,79,8,28,14,7,10,3
1149,35,59,59,14,25,56,8,15,53,16,29,16,17,6,3
1149,28,62,45,15,34,44,4,5,80,9,22,16,10,7,1
1149,14,50,28,7,24,29,19,21,90,13,32,7,10,5,2
1149,25,74,34,8,19,42,13,17,76,18,32,10,6,7,3
1149,34,68,50,12,24,50,15,24,63,14,25,14,10,9,2
1149,30,72,42,14,33,42,23,33,70,13,36,17,10,8,2
1149,21,49,43,13,31,42,15,23,65,9,29,13,13,8,4
1149,36,72,50,13,34,38,10,13,77,14,27,19,6,9,3
1149,29,60,48,8,16,50,12,16,75,10,23,15,11,2,4
1149,29,58,50,10,24,42,12,17,71,11,28,10,13,7,3
1149,27,47,57,9,18,50,21,28,75,4,28,13,9,5,6
1149,33,67,49,11,21,52,9,13,69,13,28,15,10,8,3
1149,27,57,47,9,27,33,18,25,72,13,28,10,8,1,0
1149,22,67,33,8,35,23,14,27,52,19,35,15,17,10,0
1149,26,60,43,11,31,35,17,30,57,11,23,16,12,7,3
1149,25,54,46,10,25,40,12,18,67,11,31,13,14,5,4
1149,26,70,37,9,28,32,13,15,87,15,28,11,9,5,1
1149,23,52,44,8,23,35,14,22,64,15,26,16,18,10,5
1149,25,62,40,17,36,47,13,17,76,13,20,19,10,10,1
1149,20,65,31,10,38,26,23,30,77,18,20,12,3,5,4
1149,27,62,44,9,27,33,19,26,73,21,22,12,12,6,4
1149,32,63,51,15,28,54,14,19,74,15,21,16,10,7,5
1149,23,54,43,6,27,22,22,24,92,8,20,12,5,10,0
1149,25,50,50,10,17,59,19,26,73,7,21,14,9,4,1
1149,28,56,50,9,22,41,18,22,82,9,24,12,11,9,6
1149,25,56,45,6,21,29,9,15,60,7,26,13,10,5,2
1149,27,59,46,13,27,48,8,10,80,11,28,12,12,7,4
1149,29,58,50,11,20,55,17,23,74,8,30,14,5,11,0
1149,34,75,45,19,45,42,10,22,45,18,27,15,15,9,1
1149,29,55,53,11,19,58,8,14,57,9,25,10,12,2,1
1149,22,47,47,12,28,43,12,23,52,3,28,13,13,6,1
1149,25,49,51,5,14,36,9,12,75,3,30,11,12,3,1
1149,29,51,57,10,17,59,14,20,70,5,28,17,13,6,2
1149,26,58,45,12,34,35,9,19,47,6,31,11,16,3,3
1149,26,60,43,7,20,35,18,27,67,14,29,12,6,4,2
1150,23,59,39,3,13,23,19,33,58,18,26,7,11,9,6
1150,21,43,49,1,7,14,23,31,74,16,24,9,19,5,3
1150,29,68,43,3,17,18,9,16,56,12,27,15,10,14,9
1150,27,60,45,6,17,35,13,28,46,14,31,21,22,13,6
1150,23,55,42,6,14,43,20,28,71,13,25,17,13,9,3
1150,21,42,50,3,11,27,22,27,81,3,26,14,13,6,5
1150,25,52,48,1,9,11,25,37,68,14,31,7,12,4,2
1150,28,59,47,4,12,33,13,18,72,14,20,13,14,9,2
1150,30,61,49,8,22,36,10,15,67,11,26,23,9,8,4
1150,27,42,64,2,7,29,10,19,53,5,25,10,14,11,5
1150,29,56,52,3,7,43,7,11,64,11,27,13,15,10,4
1150,23,56,41,2,12,17,23,34,68,13,35,10,18,8,6
1150,25,52,48,2,8,25,22,31,71,12,33,10,21,3,4
1150,19,51,37,3,14,21,17,26,65,15,30,10,13,8,1
1150,26,59,44,2,15,13,20,30,67,10,25,8,12,9,2
1150,22,44,50,5,16,31,14,29,48,6,27,13,19,3,9
1150,23,58,40,4,16,25,16,26,62,19,18,15,14,11,1
1150,26,48,54,2,5,40,17,29,59,5,29,8,12,7,1
1150,33,65,51,8,20,40,15,26,58,12,29,19,20,6,2
1150,15,46,33,1,13,8,21,26,81,16,26,9,14,6,2
1150,23,53,43,0,5,0,22,28,79,19,24,9,12,3,2
1150,25,63,40,2,17,12,28,35,80,16,29,13,16,12,4
1150,28,55,51,4,13,31,23,33,70,12,35,11,19,5,3
1150,22,56,39,4,15,27,20,29,69,17,29,10,19,7,5
1150,27,53,51,10,16,63,22,28,79,6,25,17,9,5,7
1150,26,66,39,6,13,46,5,8,63,16,31,11,17,6,0
1150,28,55,51,8,21,38,13,25,52,14,29,16,11,4,4
1150,32,63,51,4,10,40,9,15,60,15,28,12,13,9,4
1150,27,52,52,10,21,48,17,23,74,10,22,20,16,4,3
1150,27,51,53,10,19,53,24,31,77,8,29,17,11,7,4
1150,26,54,48,6,15,40,15,22,68,12,29,17,14,3,1
1150,30,64,47,8,16,50,22,42,52,17,30,13,17,9,2
1150,30,55,55,5,15,33,11,19,58,7,22,18,12,8,4
1150,20,60,33,6,18,33,16,20,80,13,29,12,11,5,1
1150,27,53,51,8,15,53,11,17,65,10,23,15,13,6,3
1150,30,58,52,6,18,33,8,12,67,12,23,21,12,5,0
1150,28,56,50,5,18,28,13,21,62,13,30,16,16,7,5
1150,27,55,49,8,16,50,18,30,60,10,30,15,13,7,0
1150,25,50,50,7,15,47,16,32,50,12,33,13,21,6,4
1150,32,65,49,9,19,47,33,46,72,11,36,15,15,5,1
1150,23,53,43,6,17,35,13,19,68,8,24,6,17,6,5
1150,24,77,31,6,27,22,12,26,46,25,29,12,8,4,4
1150,32,61,52,10,17,59,16,31,52,13,24,19,9,8,4
1150,30,65,46,9,22,41,6,12,50,14,21,17,10,13,3
1150,28,53,53,9,17,53,12,25,48,5,31,16,12,6,2
1150,20,41,49,6,16,38,27,38,71,9,33,11,24,3,5
1150,35,64,55,3,8,38,13,21,62,12,35,15,12,8,1
1150,30,59,51,7,20,35,10,19,53,13,20,16,11,6,1
1150,28,51,55,9,16,56,24,28,86,10,17,16,11,10,5
1150,30,64,47,6,22,27,5,7,71,16,30,17,14,6,4
1150,30,60,50,5,14,36,12,19,63,11,26,20,14,9,1
1150,28,69,41,4,13,31,26,34,76,18,30,13,12,9,1
1150,24,58,41,4,15,27,25,30,83,14,23,10,17,7,4
1150,30,59,51,11,18,61,11,17,65,13,30,20,10,5,1
1150,42,70,60,6,18,33,21,34,62,12,31,20,16,11,5
1150,28,52,54,11,25,44,15,30,50,9,22,19,9,3,1
1150,35,68,51,10,15,67,23,29,79,12,33,13,13,8,2
1150,34,62,55,10,23,43,10,13,77,9,19,17,8,7,3
1150,25,62,40,7,18,39,15,22,68,16,21,16,10,6,1
1150,34,61,56,11,25,44,13,16,81,9,28,24,15,8,1
1150,37,66,56,17,29,59,11,12,92,10,26,24,13,7,7
1150,33,58,57,14,31,45,23,28,82,5,25,22,9,4,3
1150,36,67,54,9,23,39,33,39,85,10,30,18,16,9,3
1150,30,62,48,10,23,43,18,20,90,8,23,18,8,4,2
1150,32,67,48,11,25,44,13,14,93,10,22,18,12,11,1
1150,26,56,46,8,19,42,19,27,70,8,26,17,10,8,0
1151,21,41,51,2,7,29,21,31,68,14,29,7,23,3,4
1151,23,55,42,2,21,10,20,28,71,6,26,12,13,4,2
1151,25,63,40,6,24,25,20,29,69,21,27,12,14,6,3
1151,26,45,58,9,17,53,13,18,72,5,25,20,18,6,2
1151,24,59,41,9,20,45,13,14,93,16,19,11,11,8,1
1151,31,72,43,8,25,32,21,28,75,16,29,17,12,11,2
1151,34,65,52,6,14,43,15,20,75,13,15,16,8,7,3
1151,24,57,42,1,14,7,13,22,59,17,26,14,16,4,0
1151,34,77,44,8,24,33,7,10,70,18,30,21,11,11,3
1151,24,47,51,4,10,40,20,29,69,10,29,11,11,3,2
1151,26,48,54,3,8,38,26,39,67,11,22,7,8,10,3
1151,30,51,59,5,11,45,22,29,76,10,27,9,17,6,3
1151,25,63,40,4,19,21,15,20,75,17,24,13,9,7,5
1151,31,60,52,11,25,44,13,27,48,12,29,20,15,8,3
1151,26,68,38,6,21,29,14,22,64,23,23,13,12,5,9
1151,27,65,42,6,23,26,22,27,81,22,19,11,12,11,7
1151,25,54,46,9,19,47,31,41,76,12,24,14,15,9,7
1151,26,57,46,2,8,25,16,26,62,14,22,8,11,5,7
1151,27,56,48,8,15,53,18,24,75,10,29,12,13,2,10
1151,21,49,43,4,11,36,25,32,78,8,28,4,9,8,5
1151,24,51,47,8,14,57,28,32,88,11,24,13,10,4,6
1151,24,51,47,5,21,24,24,33,73,7,26,10,12,8,6
1151,28,65,43,6,21,29,5,5,100,11,25,18,11,10,8
1151,26,61,43,6,16,38,25,35,71,18,31,16,13,4,4
1151,23,50,46,8,16,50,29,38,76,12,23,7,15,9,3
1151,20,53,38,6,15,40,17,27,63,20,30,12,13,4,8
1151,16,41,39,5,16,31,24,31,77,6,31,14,18,7,6
1151,25,54,46,6,20,30,22,31,71,16,20,10,12,7,7
1151,27,53,51,8,16,50,5,7,71,13,21,11,9,5,8
1151,27,43,63,13,26,50,26,37,70,4,21,16,8,3,7
1151,26,57,46,6,16,38,25,33,76,14,27,12,13,6,4
1151,25,60,42,13,32,41,15,21,71,15,16,17,9,12,3
1151,25,51,49,6,18,33,16,21,76,11,20,12,12,8,6
1151,19,42,45,3,13,23,25,33,76,7,28,9,16,6,15
1151,23,63,37,14,38,37,14,17,82,17,22,12,9,4,5
1151,30,62,48,5,20,25,17,24,71,14,22,15,15,6,7
1151,30,62,48,4,17,24,22,32,69,8,30,13,10,11,7
1151,24,51,47,9,21,43,24,38,63,10,24,10,10,5,4
1151,27,48,56,4,11,36,20,26,77,6,16,11,11,8,5
1151,27,62,44,6,18,33,14,22,64,11,21,15,8,7,5
1151,21,44,48,2,9,22,12,15,80,6,29,6,18,9,6
1151,27,50,54,6,13,46,19,32,59,16,24,16,14,4,10
1151,23,43,53,9,22,41,19,26,73,9,29,19,18,3,9
1151,17,43,40,7,20,35,26,35,74,10,33,13,19,6,10
1151,33,70,47,8,21,38,12,24,50,15,31,12,13,0,7
1151,20,54,37,6,18,33,15,24,63,15,25,4,16,7,9
1151,30,69,43,12,30,40,20,31,65,15,22,11,16,9,2
1151,29,58,50,12,30,40,11,13,85,7,24,17,19,10,8
1151,36,53,68,13,23,57,10,18,56,3,28,28,8,8,9
1151,23,54,43,5,16,31,11,14,79,11,22,12,13,7,7
1151,22,55,40,7,15,47,10,15,67,9,24,17,10,5,3
1151,30,60,50,12,20,60,8,10,80,13,25,13,14,8,3
1151,29,58,50,7,18,39,13,19,68,14,24,19,12,6,4
1151,27,59,46,6,22,27,17,27,63,13,24,15,10,6,6
1151,27,60,45,8,20,40,18,24,75,9,28,14,8,8,3
1151,30,61,49,4,16,25,20,27,74,15,29,8,17,6,2
1151,22,56,39,10,28,36,20,24,83,10,24,18,12,8,9
1151,27,55,49,4,15,27,19,25,76,10,24,13,6,9,2
1151,24,49,49,7,18,39,22,31,71,8,31,17,12,8,3
1151,27,50,54,11,20,55,29,36,81,5,27,19,8,9,8
1151,23,45,51,11,22,50,16,21,76,4,21,19,11,8,3
1151,21,59,36,3,18,17,18,25,72,17,26,8,9,7,2
1151,39,71,55,10,31,32,37,47,79,13,36,22,6,10,8
1151,28,48,58,4,14,29,19,23,83,5,29,12,14,4,7
1151,18,45,40,4,15,27,22,28,79,5,23,8,9,6,3
1151,23,63,37,9,22,41,17,20,85,16,24,17,9,4,3
1151,22,50,44,7,18,39,25,31,81,13,24,11,13,12,4
1151,33,59,56,9,23,39,10,15,67,10,32,21,11,8,4
1151,24,56,43,6,19,32,23,27,85,13,19,16,10,7,7
1151,21,65,32,5,18,28,20,36,56,22,27,6,9,9,6
1151,21,51,41,5,20,25,12,18,67,13,21,13,16,5,9
1151,25,56,45,8,16,50,15,20,75,12,15,9,16,13,6
1151,20,50,40,7,21,33,26,31,84,6,31,11,12,3,5
1152,25,54,46,6,15,40,11,15,73,12,24,9,20,12,2
1152,18,52,35,11,27,41,11,12,92,10,22,7,12,8,1
1152,28,63,44,15,28,54,10,17,59,10,24,14,13,12,8
1152,23,55,42,6,21,29,10,15,67,7,25,12,12,11,3
1152,24,58,41,6,21,29,17,20,85,8,19,13,11,10,3
1152,19,51,37,6,15,40,19,25,76,11,19,10,7,7,4
1152,26,63,41,2,14,14,21,29,72,19,21,9,11,13,3
1152,28,57,49,9,20,45,14,23,61,9,26,15,10,9,1
1152,29,57,51,10,25,40,20,29,69,11,21,13,12,5,1
1152,32,57,56,3,11,27,14,17,82,11,27,15,15,10,3
1152,22,50,44,5,16,31,8,12,67,6,18,10,9,7,1
1152,24,55,44,7,18,39,13,19,68,7,23,10,12,7,5
1152,28,51,55,8,12,67,22,30,73,6,20,13,15,15,3
1152,23,53,43,5,19,26,20,27,74,11,24,14,9,13,2
1152,24,54,44,6,16,38,27,32,84,5,26,11,14,11,4
1152,26,50,52,9,21,43,12,18,67,6,19,13,13,10,4
1152,29,82,35,9,30,30,17,27,63,21,30,15,15,11,5
1152,22,55,40,3,15,20,20,29,69,15,24,17,16,13,6
1152,22,49,45,8,16,50,17,22,77,5,26,12,18,5,3
1152,21,48,44,4,10,40,10,15,67,12,24,7,11,3,2
1152,25,51,49,9,15,60,19,21,90,12,26,10,15,5,3
1152,26,62,42,8,19,42,14,18,78,15,21,11,6,7,8
1152,20,53,38,5,19,26,20,24,83,13,24,10,11,14,1
1152,23,49,47,10,20,50,21,29,72,3,27,12,7,4,4
1153,28,59,47,9,21,43,15,27,56,15,39,19,19,6,10
1153,39,70,56,8,18,44,16,25,64,18,36,20,15,7,7
1153,36,70,51,12,28,43,9,23,39,13,43,24,13,15,12
1153,32,64,50,9,23,39,18,34,53,17,33,13,14,9,9
1153,25,60,42,5,20,25,23,25,92,10,27,11,13,11,5
1153,24,64,38,11,24,46,18,27,67,22,22,13,15,10,3
1153,23,59,39,2,11,18,10,14,71,15,17,7,11,9,8
1153,34,71,48,5,20,25,14,24,58,15,24,20,17,23,5
1153,36,75,48,11,29,38,9,15,60,22,33,24,15,6,9
1153,29,64,45,6,17,35,8,13,62,17,23,14,11,9,3
1153,21,64,33,5,24,21,13,19,68,20,27,8,13,9,8
1153,26,68,38,5,18,28,11,21,52,20,29,12,10,6,10
1153,21,51,41,3,16,19,25,35,71,14,23,7,9,3,4
1153,20,53,38,5,22,23,23,32,72,17,24,6,6,4,4
1153,25,42,60,6,13,46,19,31,61,7,28,15,19,2,12
1153,20,58,34,8,26,31,23,29,79,15,26,11,12,5,12
1153,18,48,38,5,21,24,21,29,72,13,22,14,17,7,8
1153,18,49,37,8,26,31,21,27,78,13,26,13,13,9,6
1153,21,53,40,12,25,48,14,24,58,9,22,13,11,9,5
1153,20,65,31,9,31,29,12,21,57,18,23,10,8,10,5
1153,20,49,41,7,22,32,14,19,74,14,21,10,15,7,5
1153,22,55,40,5,15,33,12,17,71,14,32,12,10,5,7
1153,22,56,39,7,21,33,23,31,74,17,21,13,12,8,4
1153,21,53,40,3,8,38,23,31,74,17,26,7,11,5,9
1153,31,67,46,4,9,44,11,16,69,21,26,13,14,7,8
1153,36,57,63,4,12,33,5,14,36,11,17,13,14,14,8
1153,29,69,42,3,19,16,18,28,64,16,27,12,12,13,5
1153,36,74,49,7,17,41,16,20,80,20,24,20,9,11,6
1153,23,51,45,13,26,50,27,34,79,7,20,19,7,9,3
1153,20,53,38,3,13,23,1,3,33,16,19,8,9,4,3
1153,23,51,45,7,18,39,16,23,70,11,26,16,18,8,5
1153,37,85,44,12,34,35,16,23,70,33,36,25,11,6,10
1153,23,55,42,3,11,27,25,30,83,15,25,10,7,7,6
1153,19,52,37,4,16,25,23,31,74,13,17,8,8,11,7
1153,25,57,44,6,11,55,13,19,68,11,27,15,12,12,10
1153,22,60,37,7,24,29,10,19,53,16,21,13,8,10,7
1153,18,42,43,4,18,22,31,40,78,6,29,12,14,5,7
1153,23,56,41,8,23,35,15,23,65,15,22,16,11,8,7
1153,21,49,43,7,19,37,12,16,75,7,23,12,11,7,6
1153,25,53,47,6,19,32,13,20,65,13,23,17,13,9,7
1153,29,53,55,7,18,39,15,22,68,8,23,17,11,7,7
1153,23,47,49,6,16,38,17,18,94,11,25,12,20,4,2
1153,17,51,33,4,17,24,12,13,92,12,21,7,8,8,5
1153,23,50,46,6,16,38,11,19,58,6,26,15,9,5,4
1153,28,55,51,5,15,33,12,15,80,13,14,15,4,9,2
1153,31,64,48,9,19,47,6,10,60,13,24,17,6,9,8
1153,32,60,53,4,12,33,29,38,76,11,22,13,3,7,6
1153,25,55,45,9,20,45,11,17,65,9,25,17,12,5,3
1153,22,48,46,4,12,33,13,21,62,8,25,13,14,6,9
1153,21,46,46,2,14,14,8,11,73,7,26,12,17,11,4
1153,19,51,37,9,22,41,22,34,65,12,23,14,10,4,5
1153,21,51,41,2,13,15,10,15,67,12,33,10,19,6,8
1153,19,43,44,7,19,37,14,19,74,14,19,11,11,2,6
1153,25,44,57,7,15,47,12,18,67,10,24,11,10,6,8
1153,29,55,53,7,11,64,13,20,65,9,23,17,8,7,8
1153,25,53,47,4,11,36,17,21,81,11,24,10,15,6,6
1153,24,45,53,2,11,18,22,31,71,8,24,12,14,9,12
1153,28,52,54,3,12,25,17,25,68,11,20,12,9,9,1
1153,19,41,46,6,19,32,12,15,80,10,19,9,18,10,6
1153,26,55,47,4,11,36,13,23,57,12,35,12,12,8,7
1153,29,54,54,9,14,64,17,22,77,9,27,19,8,7,1
1153,22,43,51,7,23,30,16,17,94,8,13,16,11,11,4
1153,19,47,40,5,18,28,13,18,72,10,23,7,9,8,6
1153,23,47,49,5,11,45,19,28,68,13,19,11,15,9,8
1153,21,37,57,7,12,58,13,20,65,7,25,13,17,6,6
1153,22,60,37,8,23,35,11,19,58,18,19,12,11,7,4
1153,21,48,44,4,13,31,17,22,77,10,21,14,13,9,5
1153,33,51,65,6,8,75,11,20,55,9,26,20,12,3,5
1153,25,53,47,7,15,47,6,14,43,15,25,18,10,3,4
1153,21,46,46,6,15,40,8,15,53,13,27,7,14,4,7
1153,24,48,50,6,17,35,23,29,79,10,23,14,12,4,2
1153,36,59,61,6,14,43,19,27,70,11,32,19,17,8,7
1153,38,71,54,11,24,46,19,26,73,16,28,32,11,18,8
1153,31,66,47,13,30,43,8,16,50,11,38,15,10,12,8
1153,25,60,42,8,22,36,41,59,69,16,29,16,10,19,6
1153,22,54,41,8,23,35,12,17,71,16,22,16,11,8,3
1153,21,54,39,7,17,41,16,24,67,16,23,15,11,5,3
1153,22,53,42,7,22,32,10,12,83,11,27,8,12,6,5
1153,35,73,48,6,29,21,11,18,61,20,29,25,10,9,6
1153,26,57,46,10,21,48,13,21,62,11,26,20,13,9,8
1153,17,47,36,5,15,33,30,35,86,13,29,7,13,4,6
1153,27,59,46,12,23,52,10,15,67,15,24,20,13,11,5
1153,17,55,31,5,18,28,15,19,79,14,21,11,10,10,3
1153,27,65,42,8,23,35,8,12,67,18,20,17,7,10,4
1153,30,60,50,4,15,27,12,15,80,7,22,12,10,10,8
1153,35,62,56,11,21,52,16,25,64,9,24,21,9,10,5
1153,21,55,38,8,21,38,8,12,67,11,25,12,14,7,10
1153,29,64,45,10,29,34,20,25,80,15,20,21,7,11,6
1153,23,63,37,10,23,43,13,16,81,16,27,14,10,12,4
1153,29,60,48,8,27,30,9,12,75,11,26,21,10,8,4
1153,23,54,43,7,19,37,12,21,57,12,28,13,10,4,7
1153,25,58,43,8,20,40,7,11,64,11,27,15,7,5,5
1153,18,61,30,1,19,5,24,30,80,15,24,9,6,9,7
1154,27,54,50,7,19,37,23,28,82,11,28,18,19,11,0
1154,24,40,60,9,17,53,13,16,81,7,22,13,15,9,4
1154,26,46,57,3,8,38,14,18,78,6,28,16,17,7,2
1154,30,53,57,7,13,54,17,27,63,8,17,21,8,8,0
1154,29,60,48,7,13,54,15,23,65,12,25,23,16,13,4
1154,27,60,45,6,17,35,8,12,67,13,21,21,11,11,1
1154,29,56,52,11,24,46,13,16,81,10,29,16,15,3,4
1154,26,49,53,9,20,45,20,26,77,7,26,15,12,2,0
1154,31,57,54,10,24,42,8,9,89,4,28,26,7,5,6
1154,26,50,52,10,19,53,24,33,73,7,29,14,13,2,5
1154,25,52,48,9,21,43,8,10,80,12,22,16,12,7,2
1154,15,45,33,6,20,30,15,19,79,8,22,8,8,4,4
1154,26,49,53,10,18,56,23,27,85,7,24,12,18,8,3
1154,25,49,51,7,11,64,20,22,91,14,21,15,14,4,7
1154,23,41,56,9,14,64,14,18,78,9,17,14,11,3,0
1154,25,50,50,10,15,67,6,8,75,8,23,19,16,6,2
1154,21,37,57,4,8,50,16,24,67,3,28,11,19,12,3
1154,24,50,48,8,20,40,18,18,100,10,22,19,13,2,4
1154,36,68,53,6,20,30,16,19,84,7,29,20,13,5,8
1154,33,65,51,18,41,44,11,15,73,7,25,26,17,7,5
1154,31,70,44,16,43,37,10,13,77,10,23,24,10,9,6
1154,36,74,49,8,25,32,19,30,63,20,27,17,15,12,1
1154,31,63,49,8,20,40,19,32,59,14,32,12,14,6,4
1154,30,69,43,15,39,38,17,21,81,12,32,16,19,8,3
1154,25,69,36,9,38,24,19,24,79,14,26,11,11,12,3
1155,30,56,54,7,18,39,10,16,63,9,28,18,6,7,10
1155,28,57,49,2,6,33,14,20,70,15,16,14,8,6,1
1155,23,44,52,12,16,75,11,14,79,8,25,12,12,6,3
1155,25,53,47,2,9,22,7,13,54,9,31,7,13,8,5
1155,17,39,44,3,11,27,27,37,73,7,22,8,13,10,8
1155,30,57,53,5,17,29,15,22,68,11,38,20,17,10,4
1155,30,61,49,8,25,32,9,16,56,14,25,22,9,11,6
1155,35,57,61,6,14,43,16,21,76,9,17,14,8,16,4
1155,17,33,52,6,10,60,19,27,70,4,25,12,15,2,6
1155,22,49,45,6,14,43,10,14,71,6,30,10,11,6,11
1155,22,49,45,10,21,48,23,29,79,12,30,11,9,2,9
1155,26,57,46,5,16,31,6,12,50,12,22,12,15,12,3
1155,21,50,42,5,12,42,9,17,53,7,23,10,7,5,9
1155,26,57,46,10,23,43,9,14,64,13,26,12,11,9,4
1155,19,47,40,5,17,29,15,19,79,15,25,14,6,1,7
1155,21,48,44,5,14,36,24,26,92,7,26,14,12,8,12
1155,26,58,45,3,11,27,17,21,81,13,32,10,9,2,11
1155,33,54,61,10,19,53,9,12,75,8,28,13,14,6,6
1155,23,53,43,8,25,32,15,21,71,14,32,14,15,8,8
1155,25,59,42,6,19,32,9,11,82,14,30,12,11,4,5
1155,27,54,50,6,23,26,11,14,79,13,24,16,10,9,9
1155,29,66,44,4,20,20,18,23,78,10,38,13,9,8,8
1155,22,51,43,6,13,46,12,16,75,11,20,11,9,3,2
1155,25,53,47,4,11,36,18,30,60,14,34,6,10,4,7
1155,19,47,40,6,16,38,12,20,60,9,24,7,8,4,2
1155,20,43,47,3,13,23,18,21,86,7,24,8,9,5,10
1155,19,44,43,7,19,37,8,12,67,8,25,10,17,4,5
1155,15,47,32,2,13,15,13,19,68,13,23,8,14,3,4
1155,23,48,48,5,14,36,22,26,85,12,19,9,11,6,9
1155,23,50,46,3,16,19,14,20,70,12,20,10,12,8,4
1155,25,70,36,3,20,15,24,35,69,9,38,11,9,7,9
1155,21,44,48,4,14,29,12,17,71,9,22,9,9,1,6
1155,20,54,37,4,14,29,25,29,86,14,26,6,11,6,9
1155,32,66,48,7,25,28,15,26,58,14,27,21,5,8,6
1155,19,42,45,5,15,33,16,26,62,10,19,7,14,6,3
1155,24,57,42,6,17,35,10,15,67,13,22,9,15,3,3
1155,21,59,36,6,22,27,14,16,88,16,25,12,14,5,5
1155,26,56,46,6,21,29,10,14,71,15,21,12,14,7,2
1155,22,49,45,2,14,14,26,35,74,10,28,7,17,7,7
1155,24,52,46,8,23,35,14,21,67,8,28,15,12,9,6
1155,25,54,46,4,17,24,10,16,63,11,34,12,17,1,9
1155,24,51,47,8,18,44,15,20,75,14,25,15,9,1,1
1155,23,51,45,8,20,40,12,20,60,13,27,12,10,5,1
1155,20,57,35,4,18,22,15,27,56,12,31,8,7,8,8
1155,25,53,47,6,12,50,12,19,63,9,28,11,12,4,9
1155,22,56,39,7,23,30,13,14,93,13,24,12,8,4,2
1155,19,47,40,5,13,38,19,30,63,10,24,10,14,9,4
1155,27,57,47,11,29,38,10,15,67,9,29,16,8,7,5
1155,22,43,51,4,12,33,22,27,81,6,27,9,18,8,8
1155,23,52,44,8,23,35,20,23,87,9,33,16,6,3,9
1155,27,53,51,12,25,48,12,23,52,12,33,22,14,6,8
1155,30,60,50,7,19,37,9,14,64,12,29,18,7,2,6
1155,28,55,51,5,19,26,15,22,68,12,24,15,11,8,2
1155,28,57,49,13,29,45,7,13,54,9,28,18,9,7,2
1155,21,50,42,8,15,53,16,26,62,8,28,15,9,3,6
1155,24,57,42,5,23,22,16,21,76,13,38,12,16,6,9
1155,25,56,45,10,26,38,24,33,73,15,27,15,9,6,8
1155,28,52,54,8,17,47,10,11,91,6,27,22,14,4,4
1155,14,43,33,6,20,30,32,44,73,8,23,10,12,8,7
1155,25,55,45,6,16,38,12,13,92,10,26,15,12,8,7
1155,27,56,48,7,16,44,15,15,100,10,20,15,8,8,3
1155,24,51,47,7,18,39,18,26,69,9,28,14,9,9,5
1155,23,52,44,4,17,24,26,30,87,9,28,8,12,8,7
1155,24,60,40,2,13,15,16,21,76,15,22,3,6,10,1
1155,22,54,41,9,25,36,12,17,71,11,26,14,9,6,5
1155,24,50,48,9,24,38,9,17,53,9,29,14,14,7,2
1156,34,59,58,8,16,50,16,19,84,12,27,23,13,13,5
1156,27,70,39,9,20,45,16,22,73,17,28,14,11,8,2
1156,24,55,44,3,15,20,16,23,70,9,19,13,9,5,5
1156,22,58,38,5,21,24,20,27,74,17,24,12,14,10,1
1156,27,51,53,12,24,50,12,15,80,11,15,14,16,7,4
1156,19,45,42,6,16,38,16,23,70,9,23,13,14,11,1
1156,28,54,52,8,14,57,10,16,63,8,31,15,15,6,3
1156,27,53,51,8,20,40,15,18,83,11,27,16,17,6,2
1156,24,51,47,4,16,25,14,17,82,9,29,11,15,4,5
1156,32,61,52,12,25,48,12,15,80,13,23,17,8,9,2
1156,22,45,49,5,11,45,11,14,79,6,17,13,13,9,2
1156,28,76,37,7,19,37,10,15,67,22,26,15,11,10,8
1156,25,52,48,11,24,46,22,31,71,8,27,10,16,6,3
1156,23,45,51,7,17,41,34,44,77,9,23,15,14,5,3
1156,27,43,63,7,11,64,17,26,65,7,25,11,13,7,4
1156,22,48,46,4,16,25,18,24,75,6,27,10,15,9,1
1156,25,46,54,7,14,50,21,24,88,7,21,16,14,5,1
1156,29,50,58,8,15,53,11,15,73,10,25,15,17,7,2
1156,26,57,46,4,17,24,17,24,71,9,23,25,6,6,4
1156,30,50,60,10,20,50,16,21,76,8,25,14,8,1,2
1156,25,53,47,10,15,67,14,21,67,12,23,20,13,2,8
1156,25,55,45,7,17,41,12,14,86,10,21,14,8,5,6
